hour_of_day,avg_pm25,max_pm25,min_pm25
0,151.0,189.0,98.0
1,140.5,185.0,84.0
2,135.75,165.0,88.0
3,143.0,167.0,106.0
4,157.5,204.0,111.0
5,158.75,204.0,117.0
6,144.5,209.0,84.0
7,151.75,179.0,110.0
8,149.5,202.0,102.0
9,152.0,213.0,85.0
10,153.5,217.0,82.0
11,149.75,204.0,87.0
12,154.5,203.0,100.0
13,167.5,217.0,123.0
14,190.25,262.0,142.0
15,205.5,308.0,127.0
16,206.25,291.0,151.0
17,189.5,210.0,156.0
18,189.0,208.0,160.0
19,191.0,254.0,163.0
20,172.25,219.0,150.0
21,156.0,173.0,138.0
22,148.0,173.0,121.0
23,150.14285714285714,187.0,108.0
